TOKEN TYPE           LEXEME          LINE       COLUMN    
RESERVED             public          Line: 1   Column: 1  
RESERVED             class           Line: 1   Column: 8  
IDENTIFIER           Test            Line: 1   Column: 14 
INHERIT_OP           :>              Line: 1   Column: 19 
IDENTIFIER           ExtendClass1    Line: 1   Column: 22 
PUNC_DELIM           ,               Line: 1   Column: 34 
IDENTIFIER           ExtendClass2    Line: 1   Column: 36 
INHERIT_OP           :>>             Line: 1   Column: 49 
IDENTIFIER           ImplementCLass1 Line: 1   Column: 53 
PUNC_DELIM           ,               Line: 1   Column: 68 
IDENTIFIER           ImplementClass2 Line: 1   Column: 70 
DELIM                {               Line: 1   Column: 86 
RESERVED             private         Line: 2   Column: 5  
DELIM                {               Line: 2   Column: 13 
RESERVED             str             Line: 3   Column: 9  
IDENTIFIER           test            Line: 3   Column: 13 
ASSIGN_OP            =               Line: 3   Column: 18 
STR_DELIM            "               Line: 3   Column: 20 
STR_DELIM            "               Line: 3   Column: 25 
STR_LIT              test            Line: 3   Column: 20 
PUNC_DELIM           ;               Line: 3   Column: 26 
DELIM                }               Line: 4   Column: 5  
RESERVED             public          Line: 6   Column: 5  
KEYWORD              void            Line: 6   Column: 12 
IDENTIFIER           change          Line: 6   Column: 17 
DELIM                (               Line: 6   Column: 23 
DELIM                )               Line: 6   Column: 24 
DELIM                {               Line: 6   Column: 25 
IDENTIFIER           this            Line: 7   Column: 9  
METHOD_OP            .               Line: 7   Column: 13 
IDENTIFIER           test            Line: 7   Column: 14 
ASSIGN_OP            =               Line: 7   Column: 19 
STR_DELIM            "               Line: 7   Column: 21 
STR_DELIM            "               Line: 7   Column: 25 
STR_LIT              new             Line: 7   Column: 21 
PUNC_DELIM           ;               Line: 7   Column: 26 
DELIM                }               Line: 8   Column: 5  
RESERVED             public          Line: 11  Column: 4  
RESERVED             static          Line: 11  Column: 11 
KEYWORD              void            Line: 11  Column: 18 
RESERVED             main            Line: 11  Column: 23 
DELIM                (               Line: 11  Column: 27 
RESERVED             str             Line: 11  Column: 28 
DELIM                [               Line: 11  Column: 31 
DELIM                ]               Line: 11  Column: 32 
IDENTIFIER           args            Line: 11  Column: 34 
DELIM                )               Line: 11  Column: 38 
DELIM                {               Line: 11  Column: 40 
IDENTIFIER           Test            Line: 12  Column: 9  
IDENTIFIER           instance        Line: 12  Column: 14 
ASSIGN_OP            =               Line: 12  Column: 23 
OBJ_DELIM            <               Line: 12  Column: 25 
STR_LIT              Test            Line: 12  Column: 29 
OBJ_DELIM            >               Line: 12  Column: 29 
DELIM                (               Line: 12  Column: 31 
DELIM                )               Line: 12  Column: 32 
PUNC_DELIM           ;               Line: 12  Column: 33 
KEYWORD              Output          Line: 13  Column: 9  
METHOD_OP            ::              Line: 13  Column: 15 
KEYWORD              print           Line: 13  Column: 17 
DELIM                (               Line: 13  Column: 22 
IDENTIFIER           instance        Line: 13  Column: 23 
METHOD_OP            .               Line: 13  Column: 31 
IDENTIFIER           test            Line: 13  Column: 32 
DELIM                )               Line: 13  Column: 36 
PUNC_DELIM           ;               Line: 13  Column: 37 
IDENTIFIER           instance        Line: 14  Column: 9  
METHOD_OP            ::              Line: 14  Column: 17 
IDENTIFIER           change          Line: 14  Column: 19 
DELIM                (               Line: 14  Column: 25 
DELIM                )               Line: 14  Column: 26 
PUNC_DELIM           ;               Line: 14  Column: 27 
DELIM                }               Line: 15  Column: 5  
DELIM                }               Line: 16  Column: 1  
