TOKEN TYPE           LEXEME          LINE       COLUMN    
RESERVED             public          Line: 1   Column: 1  
IDENTIFIER           method          Line: 1   Column: 8  
DELIM                (               Line: 1   Column: 14 
RESERVED             int             Line: 1   Column: 15 
IDENTIFIER           c               Line: 1   Column: 19 
DELIM                )               Line: 1   Column: 20 
METHOD_OP            ->              Line: 1   Column: 22 
IDENTIFIER           parameter       Line: 1   Column: 25 
METHOD_OP            .               Line: 1   Column: 34 
RESERVED             isValid         Line: 1   Column: 35 
DELIM                (               Line: 1   Column: 42 
DELIM                )               Line: 1   Column: 43 
DELIM                {               Line: 1   Column: 45 
RESERVED             int             Line: 3   Column: 5  
IDENTIFIER           a               Line: 3   Column: 9  
ASSIGN_OP            =               Line: 3   Column: 11 
IDENTIFIER           c               Line: 3   Column: 13 
PUNC_DELIM           ;               Line: 3   Column: 14 
RESERVED             int             Line: 4   Column: 5  
IDENTIFIER           b               Line: 4   Column: 9  
ASSIGN_OP            =               Line: 4   Column: 11 
RESERVED             ALIAS           Line: 4   Column: 13 
IDENTIFIER           a               Line: 4   Column: 19 
PUNC_DELIM           ;               Line: 4   Column: 20 
RESERVED             inspect         Line: 6   Column: 5  
DELIM                {               Line: 6   Column: 12 
RESERVED             int             Line: 7   Column: 9  
IDENTIFIER           result          Line: 7   Column: 13 
ASSIGN_OP            =               Line: 7   Column: 20 
IDENTIFIER           a               Line: 7   Column: 22 
ARITHMETIC_OP        /               Line: 7   Column: 23 
IDENTIFIER           b               Line: 7   Column: 24 
PUNC_DELIM           ;               Line: 7   Column: 25 
KEYWORD              Output          Line: 8   Column: 9  
METHOD_OP            ::              Line: 8   Column: 15 
KEYWORD              print           Line: 8   Column: 17 
DELIM                (               Line: 8   Column: 22 
STR_DELIM            "               Line: 8   Column: 23 
STR_DELIM            "               Line: 8   Column: 32 
STR_LIT              Result:         Line: 8   Column: 23 
ARITHMETIC_OP        +               Line: 8   Column: 34 
IDENTIFIER           result          Line: 8   Column: 36 
DELIM                )               Line: 8   Column: 42 
PUNC_DELIM           ;               Line: 8   Column: 43 
IDENTIFIER           Int             Line: 9   Column: 9  
IDENTIFIER           c               Line: 9   Column: 13 
ASSIGN_OP            =               Line: 9   Column: 15 
INT_LIT              20              Line: 9   Column: 17 
PUNC_DELIM           ;               Line: 9   Column: 19 
IDENTIFIER           Int             Line: 10  Column: 9  
IDENTIFIER           d               Line: 10  Column: 13 
ASSIGN_OP            =               Line: 10  Column: 15 
INT_LIT              10              Line: 10  Column: 17 
PUNC_DELIM           ;               Line: 10  Column: 19 
IDENTIFIER           Int             Line: 11  Column: 9  
IDENTIFIER           secondResult    Line: 11  Column: 13 
ASSIGN_OP            =               Line: 11  Column: 26 
IDENTIFIER           c               Line: 11  Column: 28 
ARITHMETIC_OP        /               Line: 11  Column: 29 
IDENTIFIER           d               Line: 11  Column: 30 
PUNC_DELIM           ;               Line: 11  Column: 31 
KEYWORD              Output          Line: 12  Column: 9  
METHOD_OP            ::              Line: 12  Column: 15 
KEYWORD              print           Line: 12  Column: 17 
DELIM                (               Line: 12  Column: 22 
STR_DELIM            "               Line: 12  Column: 23 
STR_DELIM            "               Line: 12  Column: 39 
STR_LIT              Second Result:  Line: 12  Column: 23 
ARITHMETIC_OP        +               Line: 12  Column: 41 
IDENTIFIER           secondResult    Line: 12  Column: 42 
DELIM                )               Line: 12  Column: 54 
PUNC_DELIM           ;               Line: 12  Column: 55 
DELIM                }               Line: 13  Column: 5  
DELIM                }               Line: 14  Column: 1  
