TOKEN TYPE           LEXEME          LINE       COLUMN    
RESERVED             class           Line: 1   Column: 1  
IDENTIFIER           ObjectDelimTest Line: 1   Column: 7  
DELIM                {               Line: 1   Column: 23 
IDENTIFIER           void            Line: 2   Column: 5  
IDENTIFIER           testDelimiters  Line: 2   Column: 10 
DELIM                (               Line: 2   Column: 24 
DELIM                )               Line: 2   Column: 25 
DELIM                {               Line: 2   Column: 27 
OBJ_DELIM            <               Line: 4   Column: 9  
STR_LIT              String          Line: 4   Column: 9  
OBJ_DELIM            >               Line: 4   Column: 16 
RESERVED             str             Line: 4   Column: 18 
PUNC_DELIM           ;               Line: 4   Column: 21 
OBJ_DELIM            <               Line: 5   Column: 9  
STR_LIT              MyClass         Line: 5   Column: 9  
OBJ_DELIM            >               Line: 5   Column: 17 
IDENTIFIER           obj             Line: 5   Column: 19 
PUNC_DELIM           ;               Line: 5   Column: 22 
OBJ_DELIM            <               Line: 6   Column: 9  
STR_LIT              CustomType      Line: 6   Column: 9  
OBJ_DELIM            >               Line: 6   Column: 20 
IDENTIFIER           custom          Line: 6   Column: 22 
PUNC_DELIM           ;               Line: 6   Column: 28 
RESERVED             int             Line: 9   Column: 9  
IDENTIFIER           a               Line: 9   Column: 13 
ASSIGN_OP            =               Line: 9   Column: 15 
INT_LIT              5               Line: 9   Column: 17 
PUNC_DELIM           ;               Line: 9   Column: 18 
KEYWORD              if              Line: 10  Column: 9  
DELIM                (               Line: 10  Column: 12 
IDENTIFIER           a               Line: 10  Column: 13 
REL_OP               <               Line: 10  Column: 15 
INT_LIT              10              Line: 10  Column: 17 
DELIM                )               Line: 10  Column: 19 
DELIM                {               Line: 10  Column: 21 
IDENTIFIER           a               Line: 11  Column: 13 
UNARY_OP             ++              Line: 11  Column: 15 
PUNC_DELIM           ;               Line: 11  Column: 16 
DELIM                }               Line: 12  Column: 9  
IDENTIFIER           boolean         Line: 13  Column: 9  
IDENTIFIER           test            Line: 13  Column: 17 
ASSIGN_OP            =               Line: 13  Column: 22 
DELIM                (               Line: 13  Column: 24 
IDENTIFIER           a               Line: 13  Column: 25 
REL_OP               <=              Line: 13  Column: 27 
INT_LIT              20              Line: 13  Column: 30 
DELIM                )               Line: 13  Column: 32 
PUNC_DELIM           ;               Line: 13  Column: 33 
RESERVED             int             Line: 14  Column: 9  
IDENTIFIER           shift           Line: 14  Column: 13 
ASSIGN_OP            =               Line: 14  Column: 19 
IDENTIFIER           a               Line: 14  Column: 21 
BIT_OP               <<              Line: 14  Column: 23 
INT_LIT              2               Line: 14  Column: 26 
PUNC_DELIM           ;               Line: 14  Column: 27 
REL_OP               <               Line: 17  Column: 10 
IDENTIFIER           empty           Line: 17  Column: 12 
PUNC_DELIM           ;               Line: 17  Column: 17 
REL_OP               <               Line: 18  Column: 13 
IDENTIFIER           invalid         Line: 18  Column: 15 
PUNC_DELIM           ;               Line: 18  Column: 22 
REL_OP               <               Line: 19  Column: 13 
IDENTIFIER           String          Line: 20  Column: 9  
REL_OP               >               Line: 20  Column: 15 
IDENTIFIER           broken          Line: 20  Column: 17 
PUNC_DELIM           ;               Line: 20  Column: 23 
REL_OP               <               Line: 21  Column: 9  
IDENTIFIER           Space           Line: 21  Column: 11 
REL_OP               >               Line: 21  Column: 17 
IDENTIFIER           bad             Line: 21  Column: 19 
PUNC_DELIM           ;               Line: 21  Column: 22 
DELIM                }               Line: 22  Column: 5  
DELIM                }               Line: 23  Column: 1  
