TOKEN TYPE           LEXEME          LINE       COLUMN    
RESERVED             int             Line: 4   Column: 9  
IDENTIFIER           a               Line: 4   Column: 13 
ASSIGN_OP            =               Line: 4   Column: 15 
INT_LIT              5               Line: 4   Column: 17 
DELIM                ;               Line: 4   Column: 18 
IDENTIFIER           a               Line: 5   Column: 9  
ASSIGN_OP            +=              Line: 5   Column: 11 
INT_LIT              3               Line: 5   Column: 14 
DELIM                ;               Line: 5   Column: 15 
IDENTIFIER           a               Line: 6   Column: 9  
ASSIGN_OP            -=              Line: 6   Column: 11 
INT_LIT              2               Line: 6   Column: 14 
DELIM                ;               Line: 6   Column: 15 
IDENTIFIER           a               Line: 7   Column: 9  
ASSIGN_OP            *=              Line: 7   Column: 11 
INT_LIT              4               Line: 7   Column: 14 
DELIM                ;               Line: 7   Column: 15 
IDENTIFIER           a               Line: 8   Column: 9  
ASSIGN_OP            /=              Line: 8   Column: 11 
INT_LIT              2               Line: 8   Column: 14 
DELIM                ;               Line: 8   Column: 15 
IDENTIFIER           a               Line: 9   Column: 9  
ASSIGN_OP            %=              Line: 9   Column: 11 
INT_LIT              3               Line: 9   Column: 14 
DELIM                ;               Line: 9   Column: 15 
RESERVED             int             Line: 10  Column: 9  
IDENTIFIER           b               Line: 10  Column: 13 
ASSIGN_OP            ?=              Line: 10  Column: 15 
IDENTIFIER           null            Line: 10  Column: 18 
DELIM                ;               Line: 10  Column: 22 
RESERVED             int             Line: 13  Column: 9  
IDENTIFIER           sum             Line: 13  Column: 13 
ASSIGN_OP            =               Line: 13  Column: 17 
INT_LIT              5               Line: 13  Column: 19 
ARITHMETIC_OP        +               Line: 13  Column: 21 
INT_LIT              3               Line: 13  Column: 23 
DELIM                ;               Line: 13  Column: 24 
RESERVED             int             Line: 14  Column: 9  
IDENTIFIER           diff            Line: 14  Column: 13 
ASSIGN_OP            =               Line: 14  Column: 18 
INT_LIT              10              Line: 14  Column: 20 
ARITHMETIC_OP        -               Line: 14  Column: 23 
INT_LIT              4               Line: 14  Column: 25 
DELIM                ;               Line: 14  Column: 26 
RESERVED             int             Line: 15  Column: 9  
IDENTIFIER           prod            Line: 15  Column: 13 
ASSIGN_OP            =               Line: 15  Column: 18 
INT_LIT              6               Line: 15  Column: 20 
ARITHMETIC_OP        *               Line: 15  Column: 22 
INT_LIT              2               Line: 15  Column: 24 
DELIM                ;               Line: 15  Column: 25 
RESERVED             int             Line: 16  Column: 9  
IDENTIFIER           quot            Line: 16  Column: 13 
ASSIGN_OP            =               Line: 16  Column: 18 
INT_LIT              15              Line: 16  Column: 20 
ARITHMETIC_OP        /               Line: 16  Column: 23 
INT_LIT              3               Line: 16  Column: 25 
DELIM                ;               Line: 16  Column: 26 
RESERVED             int             Line: 17  Column: 9  
IDENTIFIER           rem             Line: 17  Column: 13 
ASSIGN_OP            =               Line: 17  Column: 17 
INT_LIT              17              Line: 17  Column: 19 
ARITHMETIC_OP        %               Line: 17  Column: 22 
INT_LIT              5               Line: 17  Column: 24 
DELIM                ;               Line: 17  Column: 25 
RESERVED             int             Line: 18  Column: 9  
IDENTIFIER           exp             Line: 18  Column: 13 
ASSIGN_OP            =               Line: 18  Column: 17 
INT_LIT              2               Line: 18  Column: 19 
ARITHMETIC_OP        ^               Line: 18  Column: 21 
INT_LIT              3               Line: 18  Column: 23 
DELIM                ;               Line: 18  Column: 24 
IDENTIFIER           boolean         Line: 21  Column: 9  
IDENTIFIER           test1           Line: 21  Column: 17 
ASSIGN_OP            =               Line: 21  Column: 23 
BOOL_LIT             true            Line: 21  Column: 25 
LOG_OP               ||              Line: 21  Column: 30 
BOOL_LIT             false           Line: 21  Column: 33 
