TOKEN TYPE           LEXEME          LINE       COLUMN    
RESERVED             int             Line: 1   Column: 3  
IDENTIFIER           x               Line: 1   Column: 5  
PUNC_DELIM           ;               Line: 1   Column: 6  
RESERVED             int             Line: 2   Column: 3  
IDENTIFIER           x               Line: 2   Column: 5  
ASSIGN_OP            =               Line: 2   Column: 7  
INT_LIT              10              Line: 2   Column: 10 
PUNC_DELIM           ;               Line: 2   Column: 11 
RESERVED             int             Line: 3   Column: 3  
IDENTIFIER           x               Line: 3   Column: 5  
PUNC_DELIM           ,               Line: 3   Column: 6  
IDENTIFIER           y               Line: 3   Column: 8  
PUNC_DELIM           ,               Line: 3   Column: 9  
IDENTIFIER           z               Line: 3   Column: 11 
PUNC_DELIM           ;               Line: 3   Column: 12 
RESERVED             int             Line: 4   Column: 3  
IDENTIFIER           x               Line: 4   Column: 5  
ASSIGN_OP            =               Line: 4   Column: 7  
INT_LIT              10              Line: 4   Column: 10 
PUNC_DELIM           ,               Line: 4   Column: 11 
IDENTIFIER           y               Line: 4   Column: 13 
ASSIGN_OP            =               Line: 4   Column: 15 
INT_LIT              5               Line: 4   Column: 17 
PUNC_DELIM           ,               Line: 4   Column: 18 
IDENTIFIER           z               Line: 4   Column: 20 
ASSIGN_OP            =               Line: 4   Column: 22 
INT_LIT              2               Line: 4   Column: 24 
PUNC_DELIM           ;               Line: 4   Column: 25 
